_id,Year,County,Hospital,Surgery,# of Cases (ICD 9),# of Cases (ICD 10),LONGITUDE,LATITUDE
1,2013,,Statewide,Colon,7128,,,
2,2013,,Statewide,Bladder,892,,,
3,2013,,Statewide,Rectum,2128,,,
4,2013,,Statewide,Breast,25829,,,
5,2013,,Statewide,Brain,2719,,,
6,2013,,Statewide,Pancreas,819,,,
7,2013,,Statewide,Lung,3145,,,
8,2013,,Statewide,Liver,1159,,,
9,2013,,Statewide,Esophagus,337,,,
10,2013,,Statewide,Stomach,1010,,,
11,2013,,Statewide,Prostate,6145,,,
12,2013,Alameda,Alameda Hospital,Stomach,1,,-122.25362,37.762953
13,2013,Alameda,Alameda Hospital,Colon,3,,-122.25362,37.762953
14,2013,Alameda,Alameda Hospital,Breast,2,,-122.25362,37.762953
15,2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Brain,8,,-122.25784,37.85633
16,2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Colon,12,,-122.25784,37.85633
17,2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Prostate,4,,-122.25784,37.85633
18,2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Esophagus,1,,-122.25784,37.85633
19,2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Breast,95,,-122.25784,37.85633
20,2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Rectum,2,,-122.25784,37.85633
21,2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Lung,6,,-122.25784,37.85633
22,2013,Alameda,Highland Hospital,Stomach,3,,-122.2312,37.79917
23,2013,Alameda,Highland Hospital,Pancreas,1,,-122.2312,37.79917
24,2013,Alameda,Highland Hospital,Rectum,6,,-122.2312,37.79917
25,2013,Alameda,Highland Hospital,Lung,12,,-122.2312,37.79917
26,2013,Alameda,Highland Hospital,Esophagus,2,,-122.2312,37.79917
27,2013,Alameda,Highland Hospital,Colon,22,,-122.2312,37.79917
28,2013,Alameda,Highland Hospital,Breast,34,,-122.2312,37.79917
29,2013,Alameda,Highland Hospital,Brain,1,,-122.2312,37.79917
30,2013,Alameda,Highland Hospital,Prostate,8,,-122.2312,37.79917
31,2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Breast,293,,-122.25792,37.82425
32,2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Colon,74,,-122.25792,37.82425
33,2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Rectum,24,,-122.25792,37.82425
34,2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Liver,13,,-122.25792,37.82425
35,2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Prostate,59,,-122.25792,37.82425
36,2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Bladder,21,,-122.25792,37.82425
37,2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Stomach,14,,-122.25792,37.82425
38,2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Esophagus,14,,-122.25792,37.82425
39,2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Lung,46,,-122.25792,37.82425
40,2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Pancreas,12,,-122.25792,37.82425
41,2013,Alameda,Kaiser Foundation Hospital – Hayward,Esophagus,1,,-122.09338,37.62593
42,2013,Alameda,Kaiser Foundation Hospital – Hayward,Prostate,2,,-122.09338,37.62593
43,2013,Alameda,Kaiser Foundation Hospital – Hayward,Breast,194,,-122.09338,37.62593
44,2013,Alameda,Kaiser Foundation Hospital – Hayward,Stomach,7,,-122.09338,37.62593
45,2013,Alameda,Kaiser Foundation Hospital – Hayward,Liver,10,,-122.09338,37.62593
46,2013,Alameda,Kaiser Foundation Hospital – Hayward,Rectum,19,,-122.09338,37.62593
47,2013,Alameda,Kaiser Foundation Hospital – Hayward,Colon,43,,-122.09338,37.62593
48,2013,Alameda,Kaiser Foundation Hospital – Hayward,Bladder,9,,-122.09338,37.62593
49,2013,Alameda,Kaiser Foundation Hospital – Hayward,Pancreas,6,,-122.09338,37.62593
50,2013,Alameda,Kaiser Foundation Hospital – Hayward,Lung,21,,-122.09338,37.62593
51,2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,Rectum,14,,-122.26257,37.82106
52,2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,Lung,22,,-122.26257,37.82106
53,2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,Colon,43,,-122.26257,37.82106
54,2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,Pancreas,10,,-122.26257,37.82106
55,2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,Stomach,11,,-122.26257,37.82106
56,2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,Liver,7,,-122.26257,37.82106
57,2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,Breast,208,,-122.26257,37.82106
58,2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,Esophagus,2,,-122.26257,37.82106
59,2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,Prostate,19,,-122.26257,37.82106
60,2013,Alameda,Saint Rose Hospital,Liver,1,,-122.08962,37.63291
61,2013,Alameda,Saint Rose Hospital,Prostate,1,,-122.08962,37.63291
62,2013,Alameda,Saint Rose Hospital,Breast,17,,-122.08962,37.63291
63,2013,Alameda,Saint Rose Hospital,Bladder,1,,-122.08962,37.63291
64,2013,Alameda,Saint Rose Hospital,Rectum,3,,-122.08962,37.63291
65,2013,Alameda,Saint Rose Hospital,Colon,7,,-122.08962,37.63291
66,2013,Alameda,Washington Hospital – Fremont,Breast,39,,-121.98006,37.55847
67,2013,Alameda,Washington Hospital – Fremont,Rectum,5,,-121.98006,37.55847
68,2013,Alameda,Washington Hospital – Fremont,Lung,3,,-121.98006,37.55847
69,2013,Alameda,Washington Hospital – Fremont,Esophagus,1,,-121.98006,37.55847
70,2013,Alameda,Washington Hospital – Fremont,Prostate,3,,-121.98006,37.55847
71,2013,Alameda,Washington Hospital – Fremont,Brain,7,,-121.98006,37.55847
72,2013,Alameda,Washington Hospital – Fremont,Colon,24,,-121.98006,37.55847
73,2013,Alameda,Washington Hospital – Fremont,Stomach,2,,-121.98006,37.55847
74,2013,Alameda,San Leandro Hospital,Breast,20,,-122.14067,37.71364
75,2013,Alameda,San Leandro Hospital,Rectum,1,,-122.14067,37.71364
76,2013,Alameda,San Leandro Hospital,Colon,8,,-122.14067,37.71364
77,2013,Alameda,Valleycare Medical Center,Stomach,1,,-121.88095,37.69206
78,2013,Alameda,Valleycare Medical Center,Lung,3,,-121.88095,37.69206
79,2013,Alameda,Valleycare Medical Center,Breast,64,,-121.88095,37.69206
80,2013,Alameda,Valleycare Medical Center,Esophagus,3,,-121.88095,37.69206
